split	pdb_id	seed	sample	status	atom_count	observed_atom_count	observed_atom_fraction	pre_refinement_aligned_rmsd	duration_seconds	estimated_pt_bytes	output
train	17RA	300	0	DRY_RUN_OK	449	445	0.991091	4.154121	0.139093	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_300/sample_0.pt
train	17RA	300	1	DRY_RUN_OK	449	445	0.991091	3.921825	0.023488	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_300/sample_1.pt
train	17RA	300	2	DRY_RUN_OK	449	445	0.991091	4.003035	0.025112	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_300/sample_2.pt
train	17RA	300	3	DRY_RUN_OK	449	445	0.991091	4.123907	0.022989	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_300/sample_3.pt
train	17RA	301	0	DRY_RUN_OK	449	445	0.991091	3.811415	0.024085	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_301/sample_0.pt
train	17RA	301	1	DRY_RUN_OK	449	445	0.991091	3.788536	0.023102	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_301/sample_1.pt
train	17RA	301	2	DRY_RUN_OK	449	445	0.991091	4.075159	0.023927	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_301/sample_2.pt
train	17RA	301	3	DRY_RUN_OK	449	445	0.991091	4.011219	0.023832	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_301/sample_3.pt
train	17RA	302	0	DRY_RUN_OK	449	445	0.991091	3.832897	0.023602	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_302/sample_0.pt
train	17RA	302	1	DRY_RUN_OK	449	445	0.991091	3.789037	0.023962	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_302/sample_1.pt
train	17RA	302	2	DRY_RUN_OK	449	445	0.991091	3.750280	0.022961	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_302/sample_2.pt
train	17RA	302	3	DRY_RUN_OK	449	445	0.991091	4.052831	0.040243	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_302/sample_3.pt
train	17RA	303	0	DRY_RUN_OK	449	445	0.991091	3.841889	0.023758	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_303/sample_0.pt
train	17RA	303	1	DRY_RUN_OK	449	445	0.991091	3.869831	0.049782	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_303/sample_1.pt
train	17RA	303	2	DRY_RUN_OK	449	445	0.991091	3.817985	0.021886	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_303/sample_2.pt
train	17RA	303	3	DRY_RUN_OK	449	445	0.991091	4.092329	0.022717	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_303/sample_3.pt
train	17RA	304	0	DRY_RUN_OK	449	445	0.991091	3.774002	0.022212	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_304/sample_0.pt
train	17RA	304	1	DRY_RUN_OK	449	445	0.991091	3.851410	0.021348	150104	/storage9920/home/tinghao.xia/Data_PT_V1/train/17ra/seed_304/sample_1.pt
